bug.id,revision.id.buggy,revision.id.fixed,report.id,report.url
1,2608220ef704f6bd5559cfebbaba4e7b154150a6,07ea8e7fa2c0df6cc334cfcbf59cadae4d3b40a2,lang-2,https://issues.apache.org/jira/browse/LANG-2
2,4e3962a6e4052ad9053cc5a7668fd03067b44a30,8b34e1dffc5d91f585f361913c3d8143e2dcfcc4,lang-2,https://issues.apache.org/jira/browse/LANG-2
3,8b34e1dffc5d91f585f361913c3d8143e2dcfcc4,7fedb2b1cc7520fdef06637eabad62f6cdeff01c,lang-2,https://issues.apache.org/jira/browse/LANG-2
4,7fedb2b1cc7520fdef06637eabad62f6cdeff01c,f74b10ecada098f642ce1c6b67fa674455881096,lang-2,https://issues.apache.org/jira/browse/LANG-2
5,f74b10ecada098f642ce1c6b67fa674455881096,fac4f8d2d6c980440cbf582f3e0bfff3055aab3b,lang-2,https://issues.apache.org/jira/browse/LANG-2
6,30c4f3890d8ddc97644f30485e7617d9b39f2808,22aeaddb5eccbc65f921a8d954df0689de3033fc,lang-2,https://issues.apache.org/jira/browse/LANG-2
7,a8a5bea553417863fda212e6516a2175f20caa5b,bc218db61cce03a5facfc1e7130af8579367bba7,lang-2,https://issues.apache.org/jira/browse/LANG-2
8,37b370c114440614bc44d019f07b837a22d5a0e4,80e957ecc44a5f0404baeb0f36484e4d560e7bce,LANG-261,https://issues.apache.org/jira/browse/LANG-261
9,d13e4b12f3c6df3b5cab55744baa2664ca276e33,30753fb56abd09379d29e94dafb31cf17be44f94,LANG-140,https://issues.apache.org/jira/browse/LANG-140
10,30753fb56abd09379d29e94dafb31cf17be44f94,b7d3fd9e4d435eb155570f326e8c799ead6c1901,LANG-140,https://issues.apache.org/jira/browse/LANG-140
11,d3c425d6f1281d9387f5b80836ce855bc168453d,cac478de5157f5cb31b6669c477a9dc760f1e5bb,LANG-264,https://issues.apache.org/jira/browse/LANG-264
12,cac478de5157f5cb31b6669c477a9dc760f1e5bb,b01434196523fc67daa5d9379c4465b68961fd53,LANG-100,https://issues.apache.org/jira/browse/LANG-100
13,594ec5482d10e52464313b2e1fc61ae9b787cb24,7f8f3da321c31cf285a40501d43bb2e97cba7b01,LANG-66,https://issues.apache.org/jira/browse/LANG-66
14,7f8f3da321c31cf285a40501d43bb2e97cba7b01,9c2f070f611bd7cbc4454edc914b0b57c36b01aa,LANG-66,https://issues.apache.org/jira/browse/LANG-66
15,9c2f070f611bd7cbc4454edc914b0b57c36b01aa,81340ea32f313fba0f0d5ebba9a600d96af17cc9,LANG-59,https://issues.apache.org/jira/browse/LANG-59
16,6e041ae62f6f9aa9e2eecd6e1d6e508eb8afd43b,33c8a328305592d5998ade8241d19fd65573e627,LANG-272,https://issues.apache.org/jira/browse/LANG-272
17,33c8a328305592d5998ade8241d19fd65573e627,b9b6b027db0cbfbe3973fa74af3aebec4647cfd9,LANG-272,https://issues.apache.org/jira/browse/LANG-272
18,b9b6b027db0cbfbe3973fa74af3aebec4647cfd9,71910e6e4d67edb36deeb54d957c31c604fd9769,LANG-272,https://issues.apache.org/jira/browse/LANG-272
19,c62bd307657aab6bf4be06e5c4c232195f6620f9,9cbf70d82285d7ebdd190f7cd59f2a9d82a09c61,LANG-59,https://issues.apache.org/jira/browse/LANG-59
20,69b1599585515588ebe7eef0df9f00854122b620,e6cde16e0a10771a6f9b82678ca4d5835207578c,LANG-271,https://issues.apache.org/jira/browse/LANG-271
21,d9c6932a6e2b27d56ebb665c152f9f7dca759a8a,07b7795b336b301def8a7dc6059c8e616ce5582e,LANG-259,https://issues.apache.org/jira/browse/LANG-259
22,d829770690b130316a1e0471ff0d107acd461cdc,462a89b82ee3e5fd5d6f69289297f77df83f689a,LANG-277,https://issues.apache.org/jira/browse/LANG-277
23,66704164a0152a40cb8d72d5524af365ff34f083,ba57d261f1dfa1926e6bea34726e396865b0411c,LANG-278,https://issues.apache.org/jira/browse/LANG-278
24,8c71182f376f88df611ead6f7066b84fe71c19f8,4b25008ec5afc550231c4b0032bd9a581d51ee36,LANG-59,https://issues.apache.org/jira/browse/LANG-59
25,4917cb719f1d721cda63cba694379881e11d35e4,d032bda7e5df72b4befcfc4d9e068d0bc80b1dd5,LANG-279,https://issues.apache.org/jira/browse/LANG-279
26,9926c441aefc148b08a5a3ef077097cefcc3f16c,116463ba4f988ad7dda289bf6e2ff53c6570f0ef,LANG-262,https://issues.apache.org/jira/browse/LANG-262
27,116463ba4f988ad7dda289bf6e2ff53c6570f0ef,b33bbaa7c84bcc8a5ccaac35cfe4a42b8558add8,LANG-279,https://issues.apache.org/jira/browse/LANG-279
28,e91541fcbd89dc0567281127c950a8d9ead7189b,1d5c03fac601d6ce291c3fe3e5e51a11881e2fc0,LANG-281,https://issues.apache.org/jira/browse/LANG-281
29,8fde2caf64c323eb0422f7547de14ca7b1ee7a54,d8b6f5b5c6b92adff8965ab634b672e7b333f583,LANG-292,https://issues.apache.org/jira/browse/LANG-292
30,d8b6f5b5c6b92adff8965ab634b672e7b333f583,8e52e2169b20f7bc3c6c520d4f0c98e5bf06b076,LANG-294,https://issues.apache.org/jira/browse/LANG-294
31,8e52e2169b20f7bc3c6c520d4f0c98e5bf06b076,1a158281aa058ee2dc9cfae3b56012a9f92f3b2b,LANG-295,https://issues.apache.org/jira/browse/LANG-295
32,aaaa779108e445c028e91372a8c8709c7746cf72,9b0b19a9162ae8d217b06716962b982703ab4d1b,LANG-299,https://issues.apache.org/jira/browse/LANG-299
33,868dd284443b6f950a2f360b0422dbf09a599ae9,15360774099b2a7230e020751acdf6979b6e3f58,LANG-300,https://issues.apache.org/jira/browse/LANG-300
34,848a8144bc42fddbbc466a38a897f5c09f0d49e2,cf20d13c64da51becd1351befe02a06144fd6fc1,LANG-304,https://issues.apache.org/jira/browse/LANG-304
35,b57c699e69b3801684cd5faf7a3f14c552e5cb92,815f63670e01b7d443035419262c9eb3538cd672,LANG-302,https://issues.apache.org/jira/browse/LANG-302
36,c47d6ce5343fbe1807c2c927bfb10a4792a43ff9,e9e167f9ebc7a73c5847745688ae127ecff6e2b1,LANG-303,https://issues.apache.org/jira/browse/LANG-303
37,e9e167f9ebc7a73c5847745688ae127ecff6e2b1,6847ebcf5e81ae272d0ff1829a6bb5aab3f9f64a,LANG-303,https://issues.apache.org/jira/browse/LANG-303
38,a9ff534b3686e649062b04ad519a9e8b09a9f76c,640d7cf079ccdb35d92d2c598cc9502124635520,LANG-301,https://issues.apache.org/jira/browse/LANG-301
39,a1dcdfa2a634ad418c2f82a657ca029313a81070,0e07a3b09931406bfbd7653182b937d8e23d2d66,LANG-102,https://issues.apache.org/jira/browse/LANG-102
40,cd6d6bb580ec48e3bb0afd1445774fb118dcc889,a1cf642b8d2789a3c6258f543b7e7b5fabc44502,LANG-102,https://issues.apache.org/jira/browse/LANG-102
41,801f084e8e61722924395f9cac3868e9b2f6ede3,87ee821a5d73b836d89203e15cec2ea86cbe2992,LANG-313,https://issues.apache.org/jira/browse/LANG-313
42,87ee821a5d73b836d89203e15cec2ea86cbe2992,ec4a0fdfac5f8e27aec46f9e04a255cf31b40686,LANG-69,https://issues.apache.org/jira/browse/LANG-69
43,71f6a5a117e07f6ef19f09f489f595368533bf1a,3e718fdb1bbca377d6b698d49b1e70ee9834aebb,LANG-314,https://issues.apache.org/jira/browse/LANG-314
44,3e718fdb1bbca377d6b698d49b1e70ee9834aebb,98630c6d43a7e7f5e4f4e53884ab696bf3d8e5ca,LANG-314,https://issues.apache.org/jira/browse/LANG-314
